tag,inital
0BPZIC018,2
0TI439,2
0PDI016,2
0PI070,2
0FI025,2
0PDI051,2
0LI017,2
0BV011,2
0PDI002,2
0PDI052A,2
0PI058A,2
0TI044A,2
0TI045A,2
0PI056A,2
0FZI020A,2
0SIC001A,2
0TI046A,2
0PI059A,2
0PI055A,2
0PI034,2
0PI055B,2
0TI046B,2
0PDI052B,2
0PI058B,2
0TI044B,2
0PI056B,2
0SIC001B,2
0TI045B,2
0FI402,2
0TIC011AOP,38.2769
0TIC011APV,10
0TIC011ASP,68.9873
0TIC011ATV,0.0
0TIC011ACAS,0.0
0TIC011AKC,2
0TIC011ATI,0.5
0TIC011AOPM,36.2783
0TIC011AOPL,0.0
0TIC011AOPH,100.0
0LI709,2
0PDI728,2
0PI705,2
0PDI702,2
0PI743,2
0FI703,2
0PI712,2
0FI713,2
0LI703,2
0FI706,2
0AI701,2
P003A,1
P003B,2
0BPZIC705,2
0TI714,2
0TI715,2
0LI714,2
0TI438,2
0FI453,2
0FI452,2
0TI437,2
0PI731,2
0LI711,2
0PI711,2
0TI706,2
0PIC710OP,38.2769
0PIC710PV,10
0PIC710SP,68.9873
0PIC710TV,0.0
0PIC710CAS,0.0
0PIC710KC,2
0PIC710TI,0.5
0PIC710OPM,36.2783
0PIC710OPL,0.0
0PIC710OPH,100.0
0EV708,1
0EV709,1
BL001A,1
BL001B,2
0EV706,1
0EV021,1
0EV013,1
0EV010,1
0EV005,1
0EV008,1
0EV015,1
0EV012,1
0PIC049OP,38.2769
0PIC049PV,10
0PIC049SP,68.9873
0PIC049TV,0.0
0PIC049CAS,0.0
0PIC049KC,2
0PIC049TI,0.5
0PIC049OPM,36.2783
0PIC049OPL,0.0
0PIC049OPH,100.0
0LIC011OP,38.2769
0LIC011PV,10
0LIC011SP,68.9873
0LIC011TV,0.0
0LIC011CAS,0.0
0LIC011KC,2
0LIC011TI,0.5
0LIC011OPM,36.2783
0LIC011OPL,0.0
0LIC011OPH,100.0
0LIC010LOP,38.2769
0LIC010LPV,10
0LIC010LSP,68.9873
0LIC010LTV,0.0
0LIC010LCAS,0.0
0LIC010LKC,2
0LIC010LTI,0.5
0LIC010LOPM,36.2783
0LIC010LOPL,0.0
0LIC010LOPH,100.0
0LIC010ROP,38.2769
0LIC010RPV,10
0LIC010RSP,68.9873
0LIC010RTV,0.0
0LIC010RCAS,0.0
0LIC010RKC,2
0LIC010RTI,0.5
0LIC010ROPM,36.2783
0LIC010ROPL,0.0
0LIC010ROPH,100.0
0LIC003OP,38.2769
0LIC003PV,10
0LIC003SP,68.9873
0LIC003TV,0.0
0LIC003CAS,0.0
0LIC003KC,2
0LIC003TI,0.5
0LIC003OPM,36.2783
0LIC003OPL,0.0
0LIC003OPH,100.0
0LIC023OP,38.2769
0LIC023PV,10
0LIC023SP,68.9873
0LIC023TV,0.0
0LIC023CAS,0.0
0LIC023KC,2
0LIC023TI,0.5
0LIC023OPM,36.2783
0LIC023OPL,0.0
0LIC023OPH,100.0
0LI010,2
0TI042,2
0AI001,2
0LI023,2
0BPZIC021,2
0FI002,2
0TI015,2
0FI007,2
0TI021,2
0PDI002A,2
0PDI002B,2
0BV004,2
0EV001,1
E001FA01A,1
E001FA01B,2
E001FA02A,1
E001FA02B,2
E001FA03A,1
E001FA03B,2
E001FA04A,1
E001FA04B,2
0TI009,2
0TIC012OP,38.2769
0TIC012PV,10
0TIC012SP,68.9873
0TIC012TV,0.0
0TIC012CAS,0.0
0TIC012KC,2
0TIC012TI,0.5
0TIC012OPM,36.2783
0TIC012OPL,0.0
0TIC012OPH,100.0
0TIC011OP,38.2769
0TIC011PV,10
0TIC011SP,68.9873
0TIC011TV,0.0
0TIC011CAS,0.0
0TIC011KC,2
0TIC011TI,0.5
0TIC011OPM,36.2783
0TIC011OPL,0.0
0TIC011OPH,100.0
0BV003,2
0BPZIC013,2
0PDI001,2
0PDI008,2
0FI013,2
0FI014,2
0LI019,2
0LI018,2
407-0LI009,2
407-0LI028,2
0LI009,2
0LI015,2
0BV010,2
0BPZIC005,2
0TI033,2
0TI036,2
0PDI041,2
0TI003,2
0TI034,2
0LI026,2
0LI027,2
0FI014B,2
0TIC040OP,38.2769
0TIC040PV,10
0TIC040SP,68.9873
0TIC040TV,0.0
0TIC040CAS,0.0
0TIC040KC,2
0TIC040TI,0.5
0TIC040OPM,36.2783
0TIC040OPL,0.0
0TIC040OPH,100.0
0BPZIC012,2
0BPZIC015,2
0PDI010,2
0LI022,2
0EV002,1
0EV035,1
0EV044,1
0EV026,1
0HV001,1
0EV006,1
0EV036,1
0PIC059OP,38.2769
0PIC059PV,10
0PIC059SP,68.9873
0PIC059TV,0.0
0PIC059CAS,0.0
0PIC059KC,2
0PIC059TI,0.5
0PIC059OPM,36.2783
0PIC059OPL,0.0
0PIC059OPH,100.0
0TIC014OP,38.2769
0TIC014PV,10
0TIC014SP,68.9873
0TIC014TV,0.0
0TIC014CAS,0.0
0TIC014KC,2
0TIC014TI,0.5
0TIC014OPM,36.2783
0TIC014OPL,0.0
0TIC014OPH,100.0
0FIC014AOP,38.2769
0FIC014APV,10
0FIC014ASP,68.9873
0FIC014ATV,0.0
0FIC014ACAS,0.0
0FIC014AKC,2
0FIC014ATI,0.5
0FIC014AOPM,36.2783
0FIC014AOPL,0.0
0FIC014AOPH,100.0
0FIC016AOP,38.2769
0FIC016APV,10
0FIC016ASP,68.9873
0FIC016ATV,0.0
0FIC016ACAS,0.0
0FIC016AKC,2
0FIC016ATI,0.5
0FIC016AOPM,36.2783
0FIC016AOPL,0.0
0FIC016AOPH,100.0
0LIC007OP,38.2769
0LIC007PV,10
0LIC007SP,68.9873
0LIC007TV,0.0
0LIC007CAS,0.0
0LIC007KC,2
0LIC007TI,0.5
0LIC007OPM,36.2783
0LIC007OPL,0.0
0LIC007OPH,100.0
0LIC029OP,38.2769
0LIC029PV,10
0LIC029SP,68.9873
0LIC029TV,0.0
0LIC029CAS,0.0
0LIC029KC,2
0LIC029TI,0.5
0LIC029OPM,36.2783
0LIC029OPL,0.0
0LIC029OPH,100.0
0LI029,2
0EV038,1
0P012AB,1
0EV027,1
0P011AB,1
0EV037,1
0PIC060OP,38.2769
0PIC060PV,10
0PIC060SP,68.9873
0PIC060TV,0.0
0PIC060CAS,0.0
0PIC060KC,2
0PIC060TI,0.5
0PIC060OPM,36.2783
0PIC060OPL,0.0
0PIC060OPH,100.0
0PIC063OP,38.2769
0PIC063PV,10
0PIC063SP,68.9873
0PIC063TV,0.0
0PIC063CAS,0.0
0PIC063KC,2
0PIC063TI,0.5
0PIC063OPM,36.2783
0PIC063OPL,0.0
0PIC063OPH,100.0
0PIC007OP,38.2769
0PIC007PV,10
0PIC007SP,68.9873
0PIC007TV,0.0
0PIC007CAS,0.0
0PIC007KC,2
0PIC007TI,0.5
0PIC007OPM,36.2783
0PIC007OPL,0.0
0PIC007OPH,100.0
0PIC001OP,38.2769
0PIC001PV,10
0PIC001SP,68.9873
0PIC001TV,0.0
0PIC001CAS,0.0
0PIC001KC,2
0PIC001TI,0.5
0PIC001OPM,36.2783
0PIC001OPL,0.0
0PIC001OPH,100.0
0PIC181OP,38.2769
0PIC181PV,10
0PIC181SP,68.9873
0PIC181TV,0.0
0PIC181CAS,0.0
0PIC181KC,2
0PIC181TI,0.5
0PIC181OPM,36.2783
0PIC181OPL,0.0
0PIC181OPH,100.0
0FIC015OP,38.2769
0FIC015PV,10
0FIC015SP,68.9873
0FIC015TV,0.0
0FIC015CAS,0.0
0FIC015KC,2
0FIC015TI,0.5
0FIC015OPM,36.2783
0FIC015OPL,0.0
0FIC015OPH,100.0
0TIC064OP,38.2769
0TIC064PV,10
0TIC064SP,68.9873
0TIC064TV,0.0
0TIC064CAS,0.0
0TIC064KC,2
0TIC064TI,0.5
0TIC064OPM,36.2783
0TIC064OPL,0.0
0TIC064OPH,100.0
0LIC015OP,38.2769
0LIC015PV,10
0LIC015SP,68.9873
0LIC015TV,0.0
0LIC015CAS,0.0
0LIC015KC,2
0LIC015TI,0.5
0LIC015OPM,36.2783
0LIC015OPL,0.0
0LIC015OPH,100.0
0LIC012OP,38.2769
0LIC012PV,10
0LIC012SP,68.9873
0LIC012TV,0.0
0LIC012CAS,0.0
0LIC012KC,2
0LIC012TI,0.5
0LIC012OPM,36.2783
0LIC012OPL,0.0
0LIC012OPH,100.0
0TIC015OP,38.2769
0TIC015PV,10
0TIC015SP,68.9873
0TIC015TV,0.0
0TIC015CAS,0.0
0TIC015KC,2
0TIC015TI,0.5
0TIC015OPM,36.2783
0TIC015OPL,0.0
0TIC015OPH,100.0
0TIC100OP,38.2769
0TIC100PV,10
0TIC100SP,68.9873
0TIC100TV,0.0
0TIC100CAS,0.0
0TIC100KC,2
0TIC100TI,0.5
0TIC100OPM,36.2783
0TIC100OPL,0.0
0TIC100OPH,100.0
0FIC022BOP,38.2769
0FIC022BPV,10
0FIC022BSP,68.9873
0FIC022BTV,0.0
0FIC022BCAS,0.0
0FIC022BKC,2
0FIC022BTI,0.5
0FIC022BOPM,36.2783
0FIC022BOPL,0.0
0FIC022BOPH,100.0
0LIC037OP,38.2769
0LIC037PV,10
0LIC037SP,68.9873
0LIC037TV,0.0
0LIC037CAS,0.0
0LIC037KC,2
0LIC037TI,0.5
0LIC037OPM,36.2783
0LIC037OPL,0.0
0LIC037OPH,100.0
0TIC034OP,38.2769
0TIC034PV,10
0TIC034SP,68.9873
0TIC034TV,0.0
0TIC034CAS,0.0
0TIC034KC,2
0TIC034TI,0.5
0TIC034OPM,36.2783
0TIC034OPL,0.0
0TIC034OPH,100.0
0PIC064OP,38.2769
0PIC064PV,10
0PIC064SP,68.9873
0PIC064TV,0.0
0PIC064CAS,0.0
0PIC064KC,2
0PIC064TI,0.5
0PIC064OPM,36.2783
0PIC064OPL,0.0
0PIC064OPH,100.0
0PIC075OP,38.2769
0PIC075PV,10
0PIC075SP,68.9873
0PIC075TV,0.0
0PIC075CAS,0.0
0PIC075KC,2
0PIC075TI,0.5
0PIC075OPM,36.2783
0PIC075OPL,0.0
0PIC075OPH,100.0
0FIC002BOP,38.2769
0FIC002BPV,10
0FIC002BSP,68.9873
0FIC002BTV,0.0
0FIC002BCAS,0.0
0FIC002BKC,2
0FIC002BTI,0.5
0FIC002BOPM,36.2783
0FIC002BOPL,0.0
0FIC002BOPH,100.0
P012A,1
P012B,2
0BPZIC035,2
0BPZIC026,2
0TI076,2
0TI050,2
0TI045,2
0PI003,2
0TI132,2
0FI016B,2
0AI004A,2
0AI004B,2
0AI004C,2
0AI004D,2
0AI004E,2
0AI004F,2
0AI004G,2
0AI004H,2
0PDI246,2
0FI022A,2
0BV006,2
0UV003,1
0EV049,1
0BPZIC002,2
0PDI051A,2
0PDI051B,2
0AI005A,2
0AI005B,2
0AI005C,2
0AI005D,2
0AI005E,2
0AI005F,2
0AI005G,2
0AI005H,2
0FI110,2
0TI059,2
0FI109,2
0TI058,2
0PI010,2
0FI004,2
407-0PI177,2
407-0TI133,2
407-0TI185,2
407-0TI134,2
407-0PI053,2
407-0TI135,2
407-0PI178,2
407-0FI011,2
407-0TI136,2
407-0PI179,2
407-0LI013,2
0PDI004,2
0TI062,2
0TI063,2
0TI010,2
0FI015,2
0TI219,2
0PI065,2
407-0EV038,1
407-0BPZIC038,2
407-P011A,1
407-P011B,2
407-0FI158,2
407-0FI037,2
407-0LI023,2
407-0FQI020,2
407-0FI020,2
407-0TI035,2
407-0FI043A,2
407-0FI008,2
407-0LI014,2
407-0LI080,2
407-TK407003H,2
407-TK407003V,2
407-0LI127,2
0KV018A,2
0KV018B,2
0KV018C,2
0KV017A,2
0KV017B,2
0KV017C,2
0KV031A,1
0KV031B,1
0KV031C,2
0KV028A,2
0KV028B,2
0KV028C,1
0KV029A,2
0KV029B,2
0KV029C,2
0KV034A,2
0KV034B,2
0KV034C,2
0KV027A,2
0KV027B,2
0KV027C,2
0KV019A,2
0KV019B,2
0FIC031OP,38.2769
0FIC031PV,10
0FIC031SP,68.9873
0FIC031TV,0.0
0FIC031CAS,0.0
0FIC031KC,2
0FIC031TI,0.5
0FIC031OPM,36.2783
0FIC031OPL,0.0
0FIC031OPH,100.0
0PIC283AOP,38.2769
0PIC283APV,10
0PIC283ASP,68.9873
0PIC283ATV,0.0
0PIC283ACAS,0.0
0PIC283AKC,2
0PIC283ATI,0.5
0PIC283AOPM,36.2783
0PIC283AOPL,0.0
0PIC283AOPH,100.0
0PIC283BOP,38.2769
0PIC283BPV,10
0PIC283BSP,68.9873
0PIC283BTV,0.0
0PIC283BCAS,0.0
0PIC283BKC,2
0PIC283BTI,0.5
0PIC283BOPM,36.2783
0PIC283BOPL,0.0
0PIC283BOPH,100.0
0PIC015OP,38.2769
0PIC015PV,10
0PIC015SP,68.9873
0PIC015TV,0.0
0PIC015CAS,0.0
0PIC015KC,2
0PIC015TI,0.5
0PIC015OPM,36.2783
0PIC015OPL,0.0
0PIC015OPH,100.0
0PIC017OP,38.2769
0PIC017PV,10
0PIC017SP,68.9873
0PIC017TV,0.0
0PIC017CAS,0.0
0PIC017KC,2
0PIC017TI,0.5
0PIC017OPM,36.2783
0PIC017OPL,0.0
0PIC017OPH,100.0
407ED-0EV012,1
407ED-0EV025,1
407ED-0EV011,1
0KV026A,2
0KV026B,2
0KV026C,2
0BV001,2
0PI251,2
0PI005,2
0TI041C,2
0TI041B,2
0TI041A,2
0PDI009C,2
0PDI009B,2
0PDI009A,2
0TI040C,2
0TI040B,2
0TI040A,2
0AI002C,2
0AI002B,2
0AI002A,2
0PI248,2
0PI002,2
0FI031,2
0PI216,2
0PDI282A,2
0PDI282B,2
0TI212,2
0PDI306,2
0TI211,2
0BV020,2
0BPZIC011,2
0PDI258,2
1LIC023SP,314.6484
1LIC023TV,0.0
1LIC023CAS,1.0
1LIC023KC,18.0
1LIC023TI,1
1LIC023OPM,33.49
1LIC023OPL,0.0
1LIC023OPH,100.0
1LIC023OP,50.8019
1LIC023PV,314.6493
1TIC057SP,314.6484
1TIC057TV,0.0
1TIC057CAS,1.0
1TIC057KC,18.0
1TIC057TI,1
1TIC057OPM,33.49
1TIC057OPL,0.0
1TIC057OPH,100.0
1TIC057OP,50.8019
1TIC057PV,314.6493
1PIC002SP,314.6484
1PIC002TV,0.0
1PIC002CAS,1.0
1PIC002KC,18.0
1PIC002TI,1
1PIC002OPM,33.49
1PIC002OPL,0.0
1PIC002OPH,100.0
1PIC002OP,50.8019
1PIC002PV,314.6493
1FIC002SP,314.6484
1FIC002TV,0.0
1FIC002CAS,1.0
1FIC002KC,18.0
1FIC002TI,1
1FIC002OPM,33.49
1FIC002OPL,0.0
1FIC002OPH,100.0
1FIC002OP,50.8019
1FIC002PV,314.6493
1LIC025SP,314.6484
1LIC025TV,0.0
1LIC025CAS,1.0
1LIC025KC,18.0
1LIC025TI,1
1LIC025OPM,33.49
1LIC025OPL,0.0
1LIC025OPH,100.0
1LIC025OP,50.8019
1LIC025PV,314.6493
1TIC051SP,314.6484
1TIC051TV,0.0
1TIC051CAS,1.0
1TIC051KC,18.0
1TIC051TI,1
1TIC051OPM,33.49
1TIC051OPL,0.0
1TIC051OPH,100.0
1TIC051OP,50.8019
1TIC051PV,314.6493
1LIC026SP,314.6484
1LIC026TV,0.0
1LIC026CAS,1.0
1LIC026KC,18.0
1LIC026TI,1
1LIC026OPM,33.49
1LIC026OPL,0.0
1LIC026OPH,100.0
1LIC026OP,50.8019
1LIC026PV,314.6493
1EV016,1
1EV002,1
1EV001,1
1EV013,1
1EV012,1
1EV007,1
1EV005,1
1EV017,1
1EV014,1
1AI001A,50.0
1AI001B,50.0
1FI004,50.0
1PDI028,50.0
1PDI027,50.0
1PIC010SP,314.6484
1PIC010TV,0.0
1PIC010CAS,1.0
1PIC010KC,18.0
1PIC010TI,1
1PIC010OPM,33.49
1PIC010OPL,0.0
1PIC010OPH,100.0
1PIC010OP,50.8019
1PIC010PV,314.6493
1TIC017SP,314.6484
1TIC017TV,0.0
1TIC017CAS,1.0
1TIC017KC,18.0
1TIC017TI,1
1TIC017OPM,33.49
1TIC017OPL,0.0
1TIC017OPH,100.0
1TIC017OP,50.8019
1TIC017PV,314.6493
1LIC015SP,314.6484
1LIC015TV,0.0
1LIC015CAS,1.0
1LIC015KC,18.0
1LIC015TI,1
1LIC015OPM,33.49
1LIC015OPL,0.0
1LIC015OPH,100.0
1LIC015OP,50.8019
1LIC015PV,314.6493
1PIC005BSP,314.6484
1PIC005BTV,0.0
1PIC005BCAS,1.0
1PIC005BKC,18.0
1PIC005BTI,1
1PIC005BOPM,33.49
1PIC005BOPL,0.0
1PIC005BOPH,100.0
1PIC005BOP,50.8019
1PIC005BPV,314.6493
1PIC005ASP,314.6484
1PIC005ATV,0.0
1PIC005ACAS,1.0
1PIC005AKC,18.0
1PIC005ATI,1
1PIC005AOPM,33.49
1PIC005AOPL,0.0
1PIC005AOPH,100.0
1PIC005AOP,50.8019
1PIC005APV,314.6493
1PIC044SP,314.6484
1PIC044TV,0.0
1PIC044CAS,1.0
1PIC044KC,18.0
1PIC044TI,1
1PIC044OPM,33.49
1PIC044OPL,0.0
1PIC044OPH,100.0
1PIC044OP,50.8019
1PIC044PV,314.6493
1LIC007SP,314.6484
1LIC007TV,0.0
1LIC007CAS,1.0
1LIC007KC,18.0
1LIC007TI,1
1LIC007OPM,33.49
1LIC007OPL,0.0
1LIC007OPH,100.0
1LIC007OP,50.8019
1LIC007PV,314.6493
1FIC003SP,314.6484
1FIC003TV,0.0
1FIC003CAS,1.0
1FIC003KC,18.0
1FIC003TI,1
1FIC003OPM,33.49
1FIC003OPL,0.0
1FIC003OPH,100.0
1FIC003OP,50.8019
1FIC003PV,314.6493
1FIC010SP,314.6484
1FIC010TV,0.0
1FIC010CAS,1.0
1FIC010KC,18.0
1FIC010TI,1
1FIC010OPM,33.49
1FIC010OPL,0.0
1FIC010OPH,100.0
1FIC010OP,50.8019
1FIC010PV,314.6493
1LIC028BSP,314.6484
1LIC028BTV,0.0
1LIC028BCAS,1.0
1LIC028BKC,18.0
1LIC028BTI,1
1LIC028BOPM,33.49
1LIC028BOPL,0.0
1LIC028BOPH,100.0
1LIC028BOP,50.8019
1LIC028BPV,314.6493
1LIC028ASP,314.6484
1LIC028ATV,0.0
1LIC028ACAS,1.0
1LIC028AKC,18.0
1LIC028ATI,1
1LIC028AOPM,33.49
1LIC028AOPL,0.0
1LIC028AOPH,100.0
1LIC028AOP,50.8019
1LIC028APV,314.6493
1LIC029BSP,314.6484
1LIC029BTV,0.0
1LIC029BCAS,1.0
1LIC029BKC,18.0
1LIC029BTI,1
1LIC029BOPM,33.49
1LIC029BOPL,0.0
1LIC029BOPH,100.0
1LIC029BOP,50.8019
1LIC029BPV,314.6493
1LIC019BSP,314.6484
1LIC019BTV,0.0
1LIC019BCAS,1.0
1LIC019BKC,18.0
1LIC019BTI,1
1LIC019BOPM,33.49
1LIC019BOPL,0.0
1LIC019BOPH,100.0
1LIC019BOP,50.8019
1LIC019BPV,314.6493
1LIC021BSP,314.6484
1LIC021BTV,0.0
1LIC021BCAS,1.0
1LIC021BKC,18.0
1LIC021BTI,1
1LIC021BOPM,33.49
1LIC021BOPL,0.0
1LIC021BOPH,100.0
1LIC021BOP,50.8019
1LIC021BPV,314.6493
P102B,1
P102A,2
1PDI004,50.0
1EV009,1
1EV010,1
1PDI013,50.0
1FI011,50.0
1FI007,50.0
1FI008,50.0
1TIC028SP,314.6484
1TIC028TV,0.0
1TIC028CAS,1.0
1TIC028KC,18.0
1TIC028TI,1
1TIC028OPM,33.49
1TIC028OPL,0.0
1TIC028OPH,100.0
1TIC028OP,50.8019
1TIC028PV,314.6493
1PIC073SP,314.6484
1PIC073TV,0.0
1PIC073CAS,1.0
1PIC073KC,18.0
1PIC073TI,1
1PIC073OPM,33.49
1PIC073OPL,0.0
1PIC073OPH,100.0
1PIC073OP,50.8019
1PIC073PV,314.6493
1TIC047SP,314.6484
1TIC047TV,0.0
1TIC047CAS,1.0
1TIC047KC,18.0
1TIC047TI,1
1TIC047OPM,33.49
1TIC047OPL,0.0
1TIC047OPH,100.0
1TIC047OP,50.8019
1TIC047PV,314.6493
1LIC008SP,314.6484
1LIC008TV,0.0
1LIC008CAS,1.0
1LIC008KC,18.0
1LIC008TI,1
1LIC008OPM,33.49
1LIC008OPL,0.0
1LIC008OPH,100.0
1LIC008OP,50.8019
1LIC008PV,314.6493
1LIC027SP,314.6484
1LIC027TV,0.0
1LIC027CAS,1.0
1LIC027KC,18.0
1LIC027TI,1
1LIC027OPM,33.49
1LIC027OPL,0.0
1LIC027OPH,100.0
1LIC027OP,50.8019
1LIC027PV,314.6493
1TIC023SP,314.6484
1TIC023TV,0.0
1TIC023CAS,1.0
1TIC023KC,18.0
1TIC023TI,1
1TIC023OPM,33.49
1TIC023OPL,0.0
1TIC023OPH,100.0
1TIC023OP,50.8019
1TIC023PV,314.6493
1TIC042SP,314.6484
1TIC042TV,0.0
1TIC042CAS,1.0
1TIC042KC,18.0
1TIC042TI,1
1TIC042OPM,33.49
1TIC042OPL,0.0
1TIC042OPH,100.0
1TIC042OP,50.8019
1TIC042PV,314.6493
1LIC011SP,314.6484
1LIC011TV,0.0
1LIC011CAS,1.0
1LIC011KC,18.0
1LIC011TI,1
1LIC011OPM,33.49
1LIC011OPL,0.0
1LIC011OPH,100.0
1LIC011OP,50.8019
1LIC011PV,314.6493
1FIC047ASP,314.6484
1FIC047ATV,0.0
1FIC047ACAS,1.0
1FIC047AKC,18.0
1FIC047ATI,1
1FIC047AOPM,33.49
1FIC047AOPL,0.0
1FIC047AOPH,100.0
1FIC047AOP,50.8019
1FIC047APV,314.6493
1PIC096SP,314.6484
1PIC096TV,0.0
1PIC096CAS,1.0
1PIC096KC,18.0
1PIC096TI,1
1PIC096OPM,33.49
1PIC096OPL,0.0
1PIC096OPH,100.0
1PIC096OP,50.8019
1PIC096PV,314.6493
1PIC117SP,314.6484
1PIC117TV,0.0
1PIC117CAS,1.0
1PIC117KC,18.0
1PIC117TI,1
1PIC117OPM,33.49
1PIC117OPL,0.0
1PIC117OPH,100.0
1PIC117OP,50.8019
1PIC117PV,314.6493
1PIC008SP,314.6484
1PIC008TV,0.0
1PIC008CAS,1.0
1PIC008KC,18.0
1PIC008TI,1
1PIC008OPM,33.49
1PIC008OPL,0.0
1PIC008OPH,100.0
1PIC008OP,50.8019
1PIC008PV,314.6493
1PI101,50.0
1LI022,50.0
1PI091,50.0
1LI024,50.0
1FI020,50.0
1BV006,2
1EV019,1
1BPZIC013,2
1LI019B,50.0
1LI019A,50.0
1CI002,50.0
1TI110,50.0
0TI453,50.0
0FI476,50.0
1LI021A,50.0
1LI029A,50.0
1FI407,50.0
1PI043,50.0
1TI016,50.0
1TI005,50.0
1LI028,50.0
1TI067,50.0
1TI011,50.0
1TI004,50.0
1TI003,50.0
1TI066,50.0
1TI002,50.0
1LI004,50.0
1TI038,50.0
1CI003,50.0
1TI079,50.0
1TI111,50.0
1BV001,2
1EV021,1
1EV006,1
1BPZIC007,2
1LDI001A,50.0
1BPZIC005,2
1FI003B,50.0
1FI006,50.0
1PI031,50.0
1XI707A,50.0
1XI706A,50.0
1XI707B,50.0
1EV008,1
1LDI017A,50.0
1PI032,50.0
1LI006,50.0
1TI030,50.0
1PI080,50.0
1PI050,50.0
1TI031,50.0
1TI032,50.0
1PI070,50.0
1TI036,50.0
1PI049,50.0
E07FA101A,1
E07FA101B,2
E07FA102A,1
E07FA102B,2
E07FA103A,1
E07FA103B,2
1FI005B,50.0
1TY028CA,50.0
1TY028AA,50.0
1TY028BA,50.0
P104B,2
P104A,1
1FIC005ASP,314.6484
1FIC005ATV,0.0
1FIC005ACAS,1.0
1FIC005AKC,18.0
1FIC005ATI,1
1FIC005AOPM,33.49
1FIC005AOPL,0.0
1FIC005AOPH,100.0
1FIC005AOP,50.8019
1FIC005APV,314.6493
4201LI009,50.0
1LI009,50.0
1LI001,50.0
1PI160,50.0
1LV028CSP,314.6484
1LV028CTV,0.0
1LV028CCAS,1.0
1LV028CKC,18.0
1LV028CTI,1
1LV028COPM,33.49
1LV028COPL,0.0
1LV028COPH,100.0
1LV028COP,50.8019
1LV028CPV,314.6493
1LV028BSP,314.6484
1LV028BTV,0.0
1LV028BCAS,1.0
1LV028BKC,18.0
1LV028BTI,1
1LV028BOPM,33.49
1LV028BOPL,0.0
1LV028BOPH,100.0
1LV028BOP,50.8019
1LV028BPV,314.6493
1HIC001SP,314.6484
1HIC001TV,0.0
1HIC001CAS,1.0
1HIC001KC,18.0
1HIC001TI,1
1HIC001OPM,33.49
1HIC001OPL,0.0
1HIC001OPH,100.0
1HIC001OP,50.8019
1HIC001PV,314.6493
